,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,22,León,5,Estudios Superiores
1,Mujer,21,León,4,Estudios Superiores
2,Mujer,23,Madrid,3,Estudios Superiores
3,Hombre,23,Córdoba,5,Estudios Superiores
4,Hombre,23,"Alcoi, Alicante",5,A través de otra persona
5,Mujer,21,"Alcoi, Alicante",5,Estudios de Primaria/Secundaria
6,Mujer,21,Alicante,5,Estudios Superiores
7,Mujer,22,"Alcoi, Alicante",5,Estudios de Primaria/Secundaria
8,Mujer,22,"Alcoi, Alicante",5,Estudios de Primaria/Secundaria
9,Mujer,22,"Alcoi, Alicante",5,Estudios de Primaria/Secundaria
10,Mujer,22,"Alcoi, Alicante",5,Aficiones comunes
11,Mujer,22,Alicante,4,Estudios Superiores
12,Mujer,22,Madrid,3,Estudios Superiores
13,Mujer,22,Barcelona,4,Estudios Superiores
14,Mujer,20,Bilbao,4,Otro
15,Hombre,24,Galicia,4,A través de otra persona
16,Hombre,20,Tenerife,2,A través de otra persona
17,Hombre,24,Madrid,4,Otro
18,Mujer,21,"Alcoi, Alicante",4,A través de otra persona
19,Hombre,23,"Alcoi, Alicante",5,A través de otra persona
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
