,Gender,Age,Residency,EmotionalProximity,Context
0,Hombre,31.0,Huelva,5.0,A través de otra persona
1,Hombre,31.0,Huelva,5.0,Vecino/a
2,Mujer,27.0,Rioja,4.0,Otro
3,Mujer,25.0,Huelva,3.0,A través de otra persona
4,Mujer,24.0,Malaga,4.0,Aficiones comunes
5,Mujer,24.0,Jaen,5.0,Aficiones comunes
6,Mujer,24.0,Malaga,2.0,Aficiones comunes
7,Mujer,27.0,Reus,4.0,Otro
8,Mujer,32.0,Sevilla,3.0,A través de otra persona
9,Mujer,30.0,Sevilla,1.0,A través de otra persona
10,Hombre,29.0,Alicante,3.0,Aficiones comunes
11,Mujer,27.0,Ciudad Real,4.0,Aficiones comunes
12,Hombre,32.0,Madrid,4.0,Aficiones comunes
13,Mujer,27.0,Madrid,5.0,Aficiones comunes
14,Mujer,27.0,Murcia,5.0,Otro
15,Hombre,31.0,Huelva,4.0,Vecino/a
16,Hombre,35.0,Huelva,5.0,Vecino/a
17,Hombre,32.0,Huelva,4.0,Vecino/a
18,Hombre,32.0,Huelva,5.0,Vecino/a
19,Mujer,26.0,Madrid,4.0,Otro
20,Mujer,32.0,Madrid,2.0,Otro
21,Mujer,29.0,Huelva,4.0,A través de otra persona
22,Hombre,46.0,Valencia,4.0,Aficiones comunes
23,Mujer,27.0,Valencia,3.0,Aficiones comunes
24,Mujer,35.0,Lerida,5.0,Aficiones comunes
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
