,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,19,Toledo ,3,Familia
1,Mujer,48,Tolefo,4,Familia
2,Mujer,26,Madrid,3,Estudios Superiores
3,Mujer,26,Toledo,3,Estudios Superiores
4,Mujer,12,Toledo ,3,Vecino/a
5,Mujer,30,Toleeo,3,Vecino/a
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
