,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,60.0,PORCUNA,5.0,Vecino/a
1,Mujer,58.0,PORCUNA,5.0,Aficiones comunes
2,Mujer,54.0,PORCUNA,2.0,Trabajo
3,Hombre,60.0,PORCUNA,3.0,Trabajo
4,Mujer,59.0,PORCUNA,4.0,A través de otra persona
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
