,Gender,Age,Residency,EmotionalProximity,Context
0,Hombre,22,Extremadura,3,Estudios Superiores
1,Hombre,22,La rioja,4,Aficiones comunes
2,Hombre,21,La Coruña,3,A través de otra persona
3,Mujer,22,Madrid,5,Estudios Superiores
4,Hombre,22,Canarias,3,Estudios Superiores
5,Hombre,23,Almería,4,Estudios Superiores
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
