,alter_j,alter_k,relationship
0,0,1,Sí
1,0,2,Sí
2,0,3,No
3,0,4,No
4,0,5,No
5,0,6,Quizás
6,0,7,No
7,0,8,No
8,0,9,No
9,0,10,No
10,0,11,No
11,0,12,No
12,0,13,Quizás
13,0,14,No
14,0,15,Quizás
15,0,16,Sí
16,0,17,Quizás
17,0,18,Quizás
18,0,19,Sí
19,0,20,Sí
20,0,21,Quizás
21,0,22,Sí
22,0,23,No
23,0,24,Sí
24,0,25,Sí
25,0,26,Sí
26,0,27,Sí
27,0,28,No
28,0,29,No
29,0,30,No
30,0,31,Quizás
31,0,32,No
32,0,33,No
33,0,34,Sí
34,0,35,Quizás
35,0,36,Quizás
36,0,37,No
37,0,38,No
38,0,39,Quizás
39,0,40,No
40,0,41,No
41,0,42,No
42,0,43,Sí
43,0,44,No
44,1,2,No
45,1,3,Sí
46,1,4,Quizás
47,1,5,No
48,1,6,Sí
49,1,7,No
50,1,8,No
51,1,9,No
52,1,10,No
53,1,11,No
54,1,12,No
55,1,13,Sí
56,1,14,Sí
57,1,15,Sí
58,1,16,Sí
59,1,17,No
60,1,18,No
61,1,19,No
62,1,20,No
63,1,21,Sí
64,1,22,Sí
65,1,23,Quizás
66,1,24,No
67,1,25,No
68,1,26,No
69,1,27,No
70,1,28,Quizás
71,1,29,Sí
72,1,30,Quizás
73,1,31,No
74,1,32,Quizás
75,1,33,No
76,1,34,No
77,1,35,No
78,1,36,No
79,1,37,Quizás
80,1,38,Quizás
81,1,39,No
82,1,40,No
83,1,41,No
84,1,42,Quizás
85,1,43,No
86,1,44,No
87,1,0,
88,2,3,No
89,2,4,No
90,2,5,No
91,2,6,No
92,2,7,No
93,2,8,No
94,2,9,No
95,2,10,No
96,2,11,No
97,2,12,No
98,2,13,No
99,2,14,No
100,2,15,No
101,2,16,No
102,2,17,No
103,2,18,No
104,2,19,Quizás
105,2,20,Sí
106,2,21,No
107,2,22,No
108,2,23,No
109,2,24,Quizás
110,2,25,Quizás
111,2,26,Sí
112,2,27,Sí
113,2,28,No
114,2,29,No
115,2,30,No
116,2,31,No
117,2,32,No
118,2,33,No
119,2,34,Quizás
120,2,35,Quizás
121,2,36,Quizás
122,2,37,No
123,2,38,No
124,2,39,No
125,2,40,No
126,2,41,No
127,2,42,No
128,2,43,No
129,2,44,No
130,2,0,
131,2,1,
132,3,4,Sí
133,3,5,No
134,3,6,Sí
135,3,7,No
136,3,8,No
137,3,9,No
138,3,10,No
139,3,11,No
140,3,12,No
141,3,13,Sí
142,3,14,Sí
143,3,15,Sí
144,3,16,Sí
145,3,17,No
146,3,18,No
147,3,19,No
148,3,20,No
149,3,21,Sí
150,3,22,Sí
151,3,23,No
152,3,24,No
153,3,25,No
154,3,26,No
155,3,27,No
156,3,28,Sí
157,3,29,No
158,3,30,Quizás
159,3,31,Quizás
160,3,32,Sí
161,3,33,Quizás
162,3,34,No
163,3,35,No
164,3,36,No
165,3,37,No
166,3,38,No
167,3,39,No
168,3,40,No
169,3,41,No
170,3,42,Quizás
171,3,43,No
172,3,44,No
173,3,0,
174,3,1,
175,3,2,
176,4,5,No
177,4,6,Sí
178,4,7,No
179,4,8,No
180,4,9,No
181,4,10,No
182,4,11,No
183,4,12,No
184,4,13,Quizás
185,4,14,Quizás
186,4,15,No
187,4,16,No
188,4,17,No
189,4,18,No
190,4,19,No
191,4,20,No
192,4,21,Quizás
193,4,22,Quizás
194,4,23,No
195,4,24,No
196,4,25,No
197,4,26,No
198,4,27,No
199,4,28,Quizás
200,4,29,No
201,4,30,Quizás
202,4,31,Quizás
203,4,32,Sí
204,4,33,No
205,4,34,No
206,4,35,No
207,4,36,No
208,4,37,No
209,4,38,No
210,4,39,No
211,4,40,No
212,4,41,No
213,4,42,No
214,4,43,No
215,4,44,No
216,4,0,
217,4,1,
218,4,2,
219,4,3,
220,5,6,No
221,5,7,Quizás
222,5,8,No
223,5,9,No
224,5,10,No
225,5,11,No
226,5,12,No
227,5,13,No
228,5,14,No
229,5,15,No
230,5,16,No
231,5,17,No
232,5,18,No
233,5,19,No
234,5,20,No
235,5,21,Quizás
236,5,22,Quizás
237,5,23,No
238,5,24,No
239,5,25,No
240,5,26,No
241,5,27,No
242,5,28,No
243,5,29,No
244,5,30,No
245,5,31,No
246,5,32,No
247,5,33,No
248,5,34,No
249,5,35,No
250,5,36,No
251,5,37,No
252,5,38,No
253,5,39,No
254,5,40,No
255,5,41,No
256,5,42,No
257,5,43,No
258,5,44,No
259,5,0,
260,5,1,
261,5,2,
262,5,3,
263,5,4,
264,6,7,No
265,6,8,No
266,6,9,No
267,6,10,No
268,6,11,No
269,6,12,No
270,6,13,Sí
271,6,14,Quizás
272,6,15,Sí
273,6,16,Quizás
274,6,17,No
275,6,18,No
276,6,19,No
277,6,20,No
278,6,21,Sí
279,6,22,Sí
280,6,23,No
281,6,24,No
282,6,25,No
283,6,26,No
284,6,27,No
285,6,28,No
286,6,29,No
