,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,32.0,Oviedo,5.0,Aficiones comunes
1,Mujer,62.0,Asturias,4.0,Familia
2,Hombre,65.0,Asturias,4.0,Familia
3,Hombre,38.0,Asturias,4.0,Familia
4,Mujer,65.0,Asturias,3.0,Familia
5,Hombre,70.0,Asturias,3.0,Familia
6,Mujer,42.0,Madrid ,3.0,Familia
7,Hombre,40.0,Alemania ,3.0,Familia
8,Mujer,40.0,Alemania,3.0,Familia
9,Mujer,60.0,Asturias,3.0,Otro
10,Hombre,66.0,Asturias,3.0,Otro
11,Hombre,60.0,Asturias,3.0,Otro
12,Mujer,60.0,Asturias,3.0,Otro
13,Hombre,60.0,Asturias,3.0,Otro
14,Mujer,62.0,Bizkaia,3.0,Familia
15,Mujer,60.0,Bizkaia,3.0,Familia
16,Mujer,60.0,Bizkaia,3.0,Familia
17,Mujer,80.0,Bizkaia,3.0,Familia
18,Mujer,34.0,Bizkaia,3.0,Familia
19,Hombre,34.0,Madris,3.0,Estudios de Primaria/Secundaria
20,Hombre,34.0,Madrid,3.0,Estudios de Primaria/Secundaria
21,Mujer,34.0,Madrid,3.0,Estudios de Primaria/Secundaria
22,Hombre,34.0,Asturias,3.0,Aficiones comunes
23,Mujer,32.0,Asturias,3.0,Aficiones comunes
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
