,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,33,Jerez,4,Estudios de Primaria/Secundaria
1,Mujer,64,Jerez de la Fra.,5,Familia
2,Mujer,39,Jerez de la Fra.,2,Trabajo
3,Mujer,32,Jerez de la Fra.,2,Familia
4,Mujer,54,Cádiz,2,Familia
5,Hombre,59,Jerez de la Fra.,2,Familia
6,Mujer,36,Jerez de la Fra.,1,A través de otra persona
7,Hombre,37,Cádiz,4,Aficiones comunes
8,Mujer,52,Almería,2,Familia
9,Otro,30,Cádiz,3,Otro
10,Mujer,68,Málaga,3,Familia
11,Hombre,37,Sanlúcar de Barrameda,3,A través de otra persona
12,Hombre,29,Sanúcar de Barrameda,3,A través de otra persona
13,Hombre,40,Jerez de la fra.,1,Otro
14,Mujer,29,Madrid,3,A través de otra persona
15,Mujer,36,San fernando,3,Otro
16,Mujer,53,Paterna de Rivera,2,Familia
17,Hombre,35,Alemania,2,Otro
18,Hombre,37,Logroño,3,Aficiones comunes
19,Mujer,31,Jerez de la Fra.,3,Estudios Superiores
20,Mujer,50,Jerez de la Fra.,3,Trabajo
21,Hombre,34,Jerez de la Fra.,3,A través de otra persona
22,Hombre,28,Jerez de la Fra.,3,Otro
23,Mujer,31,Jerez de la Fra.,2,A través de otra persona
24,Hombre,31,Pamplona,3,Otro
25,Hombre,33,Zaragoza,5,Aficiones comunes
26,Hombre,47,Cádiz,3,Otro
27,Mujer,26,Málaga,3,A través de otra persona
28,Mujer,56,Jerez de laFra.,3,Otro
29,Mujer,38,Jerez de la Fra.,3,Estudios Superiores
30,Mujer,59,Jerez de la Fra.,2,Estudios Superiores
31,Hombre,35,Puerto Real,4,Otro
32,Mujer,62,Jerez de la Fra.,4,Aficiones comunes
33,Hombre,30,Murcia,2,Aficiones comunes
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
